location,block,pasture,livestock,patch,subpatch,date,plot,array,logger,TC,tempC,time,problematic
CGREC,BAR,SW,Cattle,NE,,5-16-2018,2,1,9,3,52.75,12:10:46.0,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,2,2,4,1,126,12:04:31.0,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,2,2,4,2,141.25,12:03:29.0,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,2,2,4,3,117,12:03:31.0,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,2,3,6,1,,,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,2,3,6,2,,,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,2,3,6,3,,,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,3,1,5,1,290,12:03:18.0,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,3,1,5,2,122.75,12:02:14.1,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,3,1,5,3,106.25,12:04:27.0,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,3,2,1,1,,,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,3,2,1,2,,,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,3,2,1,3,,,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,3,3,2,1,347,12:00:12.0,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,3,3,2,2,350.5,12:02:57.1,
CGREC,BAR,SW,Cattle,NE,,5-16-2018,3,3,2,3,223.75,12:02:17.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,1,1,3R,1,320.5,15:59:46.0,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,1,1,3R,2,190.75,15:59:46.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,1,1,3R,3,320.25,16:00:01.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,1,2,9R,1,361.5,15:59:41.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,1,2,9R,2,324,15:59:46.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,1,2,9R,3,246.25,15:59:51.0,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,1,3,5Y,1,551.5,15:59:44.0,
